2019-04-04 17:51:15.314167 : Step: 100/93698, accuracy: 0.792969, cls loss: 0.579060, bbox loss: 0.104491,Landmark loss :0.125003,L2 loss: 0.049310, Total Loss: 0.805619 ,lr:0.001000 
2019-04-04 17:57:52.953390 : Step: 200/93698, accuracy: 0.808594, cls loss: 0.538320, bbox loss: 0.107179,Landmark loss :0.118620,L2 loss: 0.049314, Total Loss: 0.759844 ,lr:0.001000 
2019-04-04 18:04:21.948627 : Step: 300/93698, accuracy: 0.882812, cls loss: 0.422274, bbox loss: 0.110427,Landmark loss :0.082864,L2 loss: 0.049327, Total Loss: 0.609679 ,lr:0.001000 
2019-04-04 18:10:50.921458 : Step: 400/93698, accuracy: 0.890625, cls loss: 0.390633, bbox loss: 0.113129,Landmark loss :0.071883,L2 loss: 0.049352, Total Loss: 0.568432 ,lr:0.001000 
2019-04-04 18:17:18.758336 : Step: 500/93698, accuracy: 0.867188, cls loss: 0.399972, bbox loss: 0.097053,Landmark loss :0.068239,L2 loss: 0.049375, Total Loss: 0.566112 ,lr:0.001000 
2019-04-04 18:23:46.233101 : Step: 600/93698, accuracy: 0.882812, cls loss: 0.360296, bbox loss: 0.096634,Landmark loss :0.073022,L2 loss: 0.049398, Total Loss: 0.531033 ,lr:0.001000 
2019-04-04 18:30:15.055571 : Step: 700/93698, accuracy: 0.898438, cls loss: 0.359428, bbox loss: 0.101569,Landmark loss :0.062680,L2 loss: 0.049416, Total Loss: 0.522308 ,lr:0.001000 
2019-04-04 18:36:45.551145 : Step: 800/93698, accuracy: 0.906250, cls loss: 0.329814, bbox loss: 0.103203,Landmark loss :0.059338,L2 loss: 0.049436, Total Loss: 0.490189 ,lr:0.001000 
2019-04-04 18:43:15.663764 : Step: 900/93698, accuracy: 0.894531, cls loss: 0.379184, bbox loss: 0.099380,Landmark loss :0.054298,L2 loss: 0.049453, Total Loss: 0.532625 ,lr:0.001000 
2019-04-04 18:49:43.799941 : Step: 1000/93698, accuracy: 0.898438, cls loss: 0.336084, bbox loss: 0.105088,Landmark loss :0.062196,L2 loss: 0.049458, Total Loss: 0.500282 ,lr:0.001000 
2019-04-04 18:56:11.846273 : Step: 1100/93698, accuracy: 0.937500, cls loss: 0.268756, bbox loss: 0.096759,Landmark loss :0.055090,L2 loss: 0.049448, Total Loss: 0.421674 ,lr:0.001000 
2019-04-04 19:02:39.011380 : Step: 1200/93698, accuracy: 0.937500, cls loss: 0.241967, bbox loss: 0.082548,Landmark loss :0.050554,L2 loss: 0.049440, Total Loss: 0.383234 ,lr:0.001000 
2019-04-04 19:09:07.462493 : Step: 1300/93698, accuracy: 0.937500, cls loss: 0.214004, bbox loss: 0.080613,Landmark loss :0.044332,L2 loss: 0.049425, Total Loss: 0.348067 ,lr:0.001000 
2019-04-04 19:15:35.668464 : Step: 1400/93698, accuracy: 0.949219, cls loss: 0.207833, bbox loss: 0.087373,Landmark loss :0.046333,L2 loss: 0.049414, Total Loss: 0.347267 ,lr:0.001000 
2019-04-04 19:22:03.765960 : Step: 1500/93698, accuracy: 0.921875, cls loss: 0.303460, bbox loss: 0.092202,Landmark loss :0.053460,L2 loss: 0.049397, Total Loss: 0.452418 ,lr:0.001000 
2019-04-04 19:28:31.830476 : Step: 1600/93698, accuracy: 0.953125, cls loss: 0.198490, bbox loss: 0.088713,Landmark loss :0.045568,L2 loss: 0.049382, Total Loss: 0.337796 ,lr:0.001000 
2019-04-04 19:34:59.522600 : Step: 1700/93698, accuracy: 0.910156, cls loss: 0.334026, bbox loss: 0.096853,Landmark loss :0.041628,L2 loss: 0.049364, Total Loss: 0.473445 ,lr:0.001000 
