2019-03-19 22:01:07.824415 : Step: 100/111690, accuracy: 0.759690, cls loss: 0.655861, bbox loss: 0.111390,Landmark loss :0.157670,L2 loss: 0.016336, Total Loss: 0.806727 ,lr:0.001000 
2019-03-19 22:01:23.046620 : Step: 200/111690, accuracy: 0.720149, cls loss: 0.671377, bbox loss: 0.084728,Landmark loss :0.128250,L2 loss: 0.016277, Total Loss: 0.794143 ,lr:0.001000 
2019-03-19 22:01:37.297651 : Step: 300/111690, accuracy: 0.779070, cls loss: 0.630158, bbox loss: 0.099926,Landmark loss :0.198128,L2 loss: 0.016230, Total Loss: 0.795415 ,lr:0.001000 
2019-03-19 22:01:51.282116 : Step: 400/111690, accuracy: 0.740601, cls loss: 0.645000, bbox loss: 0.095826,Landmark loss :0.142838,L2 loss: 0.016197, Total Loss: 0.780529 ,lr:0.001000 
2019-03-19 22:02:05.896823 : Step: 500/111690, accuracy: 0.756554, cls loss: 0.625178, bbox loss: 0.086113,Landmark loss :0.125555,L2 loss: 0.016175, Total Loss: 0.747188 ,lr:0.001000 
2019-03-19 22:02:20.614987 : Step: 600/111690, accuracy: 0.807692, cls loss: 0.590400, bbox loss: 0.115884,Landmark loss :0.113930,L2 loss: 0.016158, Total Loss: 0.721464 ,lr:0.001000 
2019-03-19 22:02:35.180611 : Step: 700/111690, accuracy: 0.692593, cls loss: 0.658645, bbox loss: 0.092526,Landmark loss :0.124003,L2 loss: 0.016150, Total Loss: 0.783060 ,lr:0.001000 
2019-03-19 22:02:50.152364 : Step: 800/111690, accuracy: 0.755396, cls loss: 0.598780, bbox loss: 0.088957,Landmark loss :0.100495,L2 loss: 0.016149, Total Loss: 0.709655 ,lr:0.001000 
2019-03-19 22:03:04.660954 : Step: 900/111690, accuracy: 0.790076, cls loss: 0.557258, bbox loss: 0.100798,Landmark loss :0.114518,L2 loss: 0.016155, Total Loss: 0.681071 ,lr:0.001000 
2019-03-19 22:03:19.432671 : Step: 1000/111690, accuracy: 0.770115, cls loss: 0.567692, bbox loss: 0.094064,Landmark loss :0.114626,L2 loss: 0.016162, Total Loss: 0.688199 ,lr:0.001000 
2019-03-19 22:03:34.548596 : Step: 1100/111690, accuracy: 0.817491, cls loss: 0.537885, bbox loss: 0.103639,Landmark loss :0.112571,L2 loss: 0.016177, Total Loss: 0.662166 ,lr:0.001000 
2019-03-19 22:03:49.042659 : Step: 1200/111690, accuracy: 0.744186, cls loss: 0.641952, bbox loss: 0.102491,Landmark loss :0.123646,L2 loss: 0.016205, Total Loss: 0.771225 ,lr:0.001000 
2019-03-19 22:04:03.617903 : Step: 1300/111690, accuracy: 0.805243, cls loss: 0.571180, bbox loss: 0.094222,Landmark loss :0.135610,L2 loss: 0.016230, Total Loss: 0.702326 ,lr:0.001000 
2019-03-19 22:04:19.232775 : Step: 1400/111690, accuracy: 0.830709, cls loss: 0.524109, bbox loss: 0.094528,Landmark loss :0.094925,L2 loss: 0.016269, Total Loss: 0.635105 ,lr:0.001000 
2019-03-19 22:04:33.742702 : Step: 1500/111690, accuracy: 0.816479, cls loss: 0.534756, bbox loss: 0.107025,Landmark loss :0.102109,L2 loss: 0.016310, Total Loss: 0.655633 ,lr:0.001000 
2019-03-19 22:04:49.014606 : Step: 1600/111690, accuracy: 0.832727, cls loss: 0.508849, bbox loss: 0.095786,Landmark loss :0.092831,L2 loss: 0.016353, Total Loss: 0.619511 ,lr:0.001000 
2019-03-19 22:05:03.968543 : Step: 1700/111690, accuracy: 0.802768, cls loss: 0.543811, bbox loss: 0.085527,Landmark loss :0.107580,L2 loss: 0.016399, Total Loss: 0.656764 ,lr:0.001000 
2019-03-19 22:05:18.730579 : Step: 1800/111690, accuracy: 0.838951, cls loss: 0.475298, bbox loss: 0.089001,Landmark loss :0.097894,L2 loss: 0.016443, Total Loss: 0.585189 ,lr:0.001000 
2019-03-19 22:05:33.365701 : Step: 1900/111690, accuracy: 0.856031, cls loss: 0.482563, bbox loss: 0.091744,Landmark loss :0.105554,L2 loss: 0.016482, Total Loss: 0.597694 ,lr:0.001000 
2019-03-19 22:05:48.003697 : Step: 2000/111690, accuracy: 0.847273, cls loss: 0.440339, bbox loss: 0.074819,Landmark loss :0.092789,L2 loss: 0.016520, Total Loss: 0.540663 ,lr:0.001000 
2019-03-19 22:06:02.423247 : Step: 2100/111690, accuracy: 0.833333, cls loss: 0.512068, bbox loss: 0.088130,Landmark loss :0.091854,L2 loss: 0.016566, Total Loss: 0.618626 ,lr:0.001000 
2019-03-19 22:06:16.966380 : Step: 2200/111690, accuracy: 0.839416, cls loss: 0.500585, bbox loss: 0.089048,Landmark loss :0.095878,L2 loss: 0.016600, Total Loss: 0.609648 ,lr:0.001000 
2019-03-19 22:06:32.424894 : Step: 2300/111690, accuracy: 0.867769, cls loss: 0.402668, bbox loss: 0.094530,Landmark loss :0.094967,L2 loss: 0.016646, Total Loss: 0.514062 ,lr:0.001000 
2019-03-19 22:06:47.874924 : Step: 2400/111690, accuracy: 0.894737, cls loss: 0.408148, bbox loss: 0.085011,Landmark loss :0.107284,L2 loss: 0.016698, Total Loss: 0.520993 ,lr:0.001000 
2019-03-19 22:07:02.730951 : Step: 2500/111690, accuracy: 0.900369, cls loss: 0.385646, bbox loss: 0.081947,Landmark loss :0.074213,L2 loss: 0.016734, Total Loss: 0.480460 ,lr:0.001000 
2019-03-19 22:07:17.784573 : Step: 2600/111690, accuracy: 0.874539, cls loss: 0.393211, bbox loss: 0.084154,Landmark loss :0.095017,L2 loss: 0.016762, Total Loss: 0.499558 ,lr:0.001000 
2019-03-19 22:07:32.925946 : Step: 2700/111690, accuracy: 0.901887, cls loss: 0.344721, bbox loss: 0.093139,Landmark loss :0.097168,L2 loss: 0.016792, Total Loss: 0.456667 ,lr:0.001000 
2019-03-19 22:07:48.212201 : Step: 2800/111690, accuracy: 0.877863, cls loss: 0.421087, bbox loss: 0.079564,Landmark loss :0.096973,L2 loss: 0.016817, Total Loss: 0.526173 ,lr:0.001000 
2019-03-19 22:08:03.307385 : Step: 2900/111690, accuracy: 0.909408, cls loss: 0.364054, bbox loss: 0.075577,Landmark loss :0.075819,L2 loss: 0.016826, Total Loss: 0.456578 ,lr:0.001000 
2019-03-19 22:08:19.494873 : Step: 3000/111690, accuracy: 0.861818, cls loss: 0.389683, bbox loss: 0.084381,Landmark loss :0.099306,L2 loss: 0.016845, Total Loss: 0.498372 ,lr:0.001000 
2019-03-19 22:08:34.735764 : Step: 3100/111690, accuracy: 0.879699, cls loss: 0.443185, bbox loss: 0.076024,Landmark loss :0.095849,L2 loss: 0.016856, Total Loss: 0.545978 ,lr:0.001000 
2019-03-19 22:08:50.109518 : Step: 3200/111690, accuracy: 0.902174, cls loss: 0.323376, bbox loss: 0.095145,Landmark loss :0.083114,L2 loss: 0.016876, Total Loss: 0.429381 ,lr:0.001000 
2019-03-19 22:09:05.334362 : Step: 3300/111690, accuracy: 0.886121, cls loss: 0.434665, bbox loss: 0.069730,Landmark loss :0.110536,L2 loss: 0.016892, Total Loss: 0.541690 ,lr:0.001000 
2019-03-19 22:09:20.493646 : Step: 3400/111690, accuracy: 0.910072, cls loss: 0.335448, bbox loss: 0.088314,Landmark loss :0.072862,L2 loss: 0.016905, Total Loss: 0.432941 ,lr:0.001000 
2019-03-19 22:09:35.795519 : Step: 3500/111690, accuracy: 0.904762, cls loss: 0.359606, bbox loss: 0.082193,Landmark loss :0.092446,L2 loss: 0.016910, Total Loss: 0.463834 ,lr:0.001000 
2019-03-19 22:09:50.899755 : Step: 3600/111690, accuracy: 0.904412, cls loss: 0.322995, bbox loss: 0.075088,Landmark loss :0.070144,L2 loss: 0.016918, Total Loss: 0.412530 ,lr:0.001000 
2019-03-19 22:10:06.073485 : Step: 3700/111690, accuracy: 0.880000, cls loss: 0.389896, bbox loss: 0.072190,Landmark loss :0.076220,L2 loss: 0.016922, Total Loss: 0.481023 ,lr:0.001000 
path prefix is :../data/MTCNN_model/PNet_landmark/PNet-1
2019-03-19 22:10:20.763965 : Step: 3800/111690, accuracy: 0.891228, cls loss: 0.351440, bbox loss: 0.086882,Landmark loss :0.059528,L2 loss: 0.016923, Total Loss: 0.441567 ,lr:0.001000 
2019-03-19 22:10:34.574617 : Step: 3900/111690, accuracy: 0.926471, cls loss: 0.276047, bbox loss: 0.085433,Landmark loss :0.074442,L2 loss: 0.016936, Total Loss: 0.372921 ,lr:0.001000 
2019-03-19 22:10:48.991808 : Step: 4000/111690, accuracy: 0.871212, cls loss: 0.409566, bbox loss: 0.090978,Landmark loss :0.090835,L2 loss: 0.016942, Total Loss: 0.517414 ,lr:0.001000 
2019-03-19 22:11:02.507036 : Step: 4100/111690, accuracy: 0.900735, cls loss: 0.315194, bbox loss: 0.073410,Landmark loss :0.089970,L2 loss: 0.016939, Total Loss: 0.413824 ,lr:0.001000 
2019-03-19 22:11:16.992849 : Step: 4200/111690, accuracy: 0.877256, cls loss: 0.338304, bbox loss: 0.079482,Landmark loss :0.082286,L2 loss: 0.016949, Total Loss: 0.436137 ,lr:0.001000 
2019-03-19 22:11:30.776799 : Step: 4300/111690, accuracy: 0.906367, cls loss: 0.366002, bbox loss: 0.078400,Landmark loss :0.070970,L2 loss: 0.016954, Total Loss: 0.457641 ,lr:0.001000 
2019-03-19 22:11:44.363789 : Step: 4400/111690, accuracy: 0.907063, cls loss: 0.327107, bbox loss: 0.084613,Landmark loss :0.073052,L2 loss: 0.016964, Total Loss: 0.422905 ,lr:0.001000 
2019-03-19 22:11:57.884807 : Step: 4500/111690, accuracy: 0.882784, cls loss: 0.406102, bbox loss: 0.064810,Landmark loss :0.083936,L2 loss: 0.016973, Total Loss: 0.497449 ,lr:0.001000 
2019-03-19 22:12:11.572367 : Step: 4600/111690, accuracy: 0.911877, cls loss: 0.332034, bbox loss: 0.083932,Landmark loss :0.071704,L2 loss: 0.016965, Total Loss: 0.426817 ,lr:0.001000 
2019-03-19 22:12:25.415403 : Step: 4700/111690, accuracy: 0.916667, cls loss: 0.308514, bbox loss: 0.073790,Landmark loss :0.072393,L2 loss: 0.016971, Total Loss: 0.398576 ,lr:0.001000 
2019-03-19 22:12:39.704256 : Step: 4800/111690, accuracy: 0.912879, cls loss: 0.351794, bbox loss: 0.067639,Landmark loss :0.079277,L2 loss: 0.016976, Total Loss: 0.442228 ,lr:0.001000 
2019-03-19 22:12:53.653858 : Step: 4900/111690, accuracy: 0.931900, cls loss: 0.286148, bbox loss: 0.078814,Landmark loss :0.083779,L2 loss: 0.016981, Total Loss: 0.384426 ,lr:0.001000 
2019-03-19 22:13:07.652254 : Step: 5000/111690, accuracy: 0.943262, cls loss: 0.287767, bbox loss: 0.082752,Landmark loss :0.081442,L2 loss: 0.016984, Total Loss: 0.386848 ,lr:0.001000 
2019-03-19 22:13:21.428330 : Step: 5100/111690, accuracy: 0.890909, cls loss: 0.414033, bbox loss: 0.072832,Landmark loss :0.074003,L2 loss: 0.016994, Total Loss: 0.504445 ,lr:0.001000 
2019-03-19 22:13:35.622835 : Step: 5200/111690, accuracy: 0.914815, cls loss: 0.386206, bbox loss: 0.070226,Landmark loss :0.069443,L2 loss: 0.017007, Total Loss: 0.473047 ,lr:0.001000 
2019-03-19 22:13:49.567587 : Step: 5300/111690, accuracy: 0.947955, cls loss: 0.246137, bbox loss: 0.078329,Landmark loss :0.063683,L2 loss: 0.017001, Total Loss: 0.334144 ,lr:0.001000 
2019-03-19 22:14:03.679348 : Step: 5400/111690, accuracy: 0.906475, cls loss: 0.333141, bbox loss: 0.083308,Landmark loss :0.081711,L2 loss: 0.017011, Total Loss: 0.432661 ,lr:0.001000 
2019-03-19 22:14:17.485088 : Step: 5500/111690, accuracy: 0.963100, cls loss: 0.193801, bbox loss: 0.085926,Landmark loss :0.062134,L2 loss: 0.017011, Total Loss: 0.284841 ,lr:0.001000 
2019-03-19 22:14:31.275106 : Step: 5600/111690, accuracy: 0.904059, cls loss: 0.381621, bbox loss: 0.074216,Landmark loss :0.060832,L2 loss: 0.017018, Total Loss: 0.466162 ,lr:0.001000 
2019-03-19 22:14:45.420940 : Step: 5700/111690, accuracy: 0.903915, cls loss: 0.299026, bbox loss: 0.074031,Landmark loss :0.058922,L2 loss: 0.017026, Total Loss: 0.382529 ,lr:0.001000 
2019-03-19 22:14:59.158136 : Step: 5800/111690, accuracy: 0.884615, cls loss: 0.403677, bbox loss: 0.074949,Landmark loss :0.064770,L2 loss: 0.017028, Total Loss: 0.490565 ,lr:0.001000 
2019-03-19 22:15:12.777567 : Step: 5900/111690, accuracy: 0.901887, cls loss: 0.323731, bbox loss: 0.069679,Landmark loss :0.062601,L2 loss: 0.017023, Total Loss: 0.406894 ,lr:0.001000 
