2019-03-24 20:03:19.070972 : Step: 100/106546, accuracy: 0.750000, cls loss: 0.657565, bbox loss: 0.132529,Landmark loss :0.145477,L2 loss: 0.023854, Total Loss: 0.820422 ,lr:0.001000 
2019-03-24 20:04:29.679008 : Step: 200/106546, accuracy: 0.750000, cls loss: 0.645664, bbox loss: 0.114089,Landmark loss :0.128486,L2 loss: 0.023808, Total Loss: 0.790760 ,lr:0.001000 
2019-03-24 20:05:39.858550 : Step: 300/106546, accuracy: 0.750000, cls loss: 0.639518, bbox loss: 0.120902,Landmark loss :0.129707,L2 loss: 0.023776, Total Loss: 0.788598 ,lr:0.001000 
2019-03-24 20:06:50.977900 : Step: 400/106546, accuracy: 0.765625, cls loss: 0.623123, bbox loss: 0.127410,Landmark loss :0.105492,L2 loss: 0.023758, Total Loss: 0.763332 ,lr:0.001000 
2019-03-24 20:08:01.659496 : Step: 500/106546, accuracy: 0.765625, cls loss: 0.607725, bbox loss: 0.114848,Landmark loss :0.102556,L2 loss: 0.023751, Total Loss: 0.740178 ,lr:0.001000 
2019-03-24 20:09:13.420000 : Step: 600/106546, accuracy: 0.765625, cls loss: 0.629269, bbox loss: 0.133012,Landmark loss :0.091013,L2 loss: 0.023750, Total Loss: 0.765031 ,lr:0.001000 
2019-03-24 20:10:26.481986 : Step: 700/106546, accuracy: 0.777344, cls loss: 0.610928, bbox loss: 0.110935,Landmark loss :0.093014,L2 loss: 0.023756, Total Loss: 0.736658 ,lr:0.001000 
2019-03-24 20:11:39.552300 : Step: 800/106546, accuracy: 0.792969, cls loss: 0.587357, bbox loss: 0.112835,Landmark loss :0.080456,L2 loss: 0.023765, Total Loss: 0.707768 ,lr:0.001000 
2019-03-24 20:12:52.112948 : Step: 900/106546, accuracy: 0.828125, cls loss: 0.570961, bbox loss: 0.125785,Landmark loss :0.077709,L2 loss: 0.023774, Total Loss: 0.696482 ,lr:0.001000 
2019-03-24 20:14:05.358577 : Step: 1000/106546, accuracy: 0.812500, cls loss: 0.567990, bbox loss: 0.112482,Landmark loss :0.076493,L2 loss: 0.023785, Total Loss: 0.686262 ,lr:0.001000 
2019-03-24 20:15:18.735855 : Step: 1100/106546, accuracy: 0.816406, cls loss: 0.553707, bbox loss: 0.107736,Landmark loss :0.072485,L2 loss: 0.023787, Total Loss: 0.667604 ,lr:0.001000 
2019-03-24 20:16:31.629169 : Step: 1200/106546, accuracy: 0.796875, cls loss: 0.592547, bbox loss: 0.103070,Landmark loss :0.066846,L2 loss: 0.023791, Total Loss: 0.701296 ,lr:0.001000 
2019-03-24 20:17:44.302917 : Step: 1300/106546, accuracy: 0.820312, cls loss: 0.554217, bbox loss: 0.110834,Landmark loss :0.070219,L2 loss: 0.023798, Total Loss: 0.668541 ,lr:0.001000 
2019-03-24 20:18:57.095479 : Step: 1400/106546, accuracy: 0.843750, cls loss: 0.517729, bbox loss: 0.110131,Landmark loss :0.080304,L2 loss: 0.023802, Total Loss: 0.636748 ,lr:0.001000 
2019-03-24 20:20:09.660008 : Step: 1500/106546, accuracy: 0.820312, cls loss: 0.551248, bbox loss: 0.120643,Landmark loss :0.073696,L2 loss: 0.023807, Total Loss: 0.672225 ,lr:0.001000 
2019-03-24 20:21:23.067110 : Step: 1600/106546, accuracy: 0.816406, cls loss: 0.567359, bbox loss: 0.094995,Landmark loss :0.068186,L2 loss: 0.023813, Total Loss: 0.672763 ,lr:0.001000 
2019-03-24 20:22:36.177129 : Step: 1700/106546, accuracy: 0.816406, cls loss: 0.545101, bbox loss: 0.104826,Landmark loss :0.072759,L2 loss: 0.023819, Total Loss: 0.657712 ,lr:0.001000 
2019-03-24 20:23:57.323704 : Step: 1800/106546, accuracy: 0.835938, cls loss: 0.537290, bbox loss: 0.100992,Landmark loss :0.056263,L2 loss: 0.023825, Total Loss: 0.639742 ,lr:0.001000 
2019-03-24 20:25:10.954167 : Step: 1900/106546, accuracy: 0.812500, cls loss: 0.543721, bbox loss: 0.093391,Landmark loss :0.063488,L2 loss: 0.023833, Total Loss: 0.645994 ,lr:0.001000 
2019-03-24 20:26:23.844508 : Step: 2000/106546, accuracy: 0.847656, cls loss: 0.521643, bbox loss: 0.107971,Landmark loss :0.058678,L2 loss: 0.023844, Total Loss: 0.628811 ,lr:0.001000 
2019-03-24 20:27:36.882599 : Step: 2100/106546, accuracy: 0.847656, cls loss: 0.544308, bbox loss: 0.104681,Landmark loss :0.060785,L2 loss: 0.023859, Total Loss: 0.650901 ,lr:0.001000 
2019-03-24 20:28:49.706424 : Step: 2200/106546, accuracy: 0.851562, cls loss: 0.528592, bbox loss: 0.112189,Landmark loss :0.060853,L2 loss: 0.023870, Total Loss: 0.638983 ,lr:0.001000 
2019-03-24 20:30:03.451481 : Step: 2300/106546, accuracy: 0.843750, cls loss: 0.500108, bbox loss: 0.105964,Landmark loss :0.057283,L2 loss: 0.023885, Total Loss: 0.605617 ,lr:0.001000 
2019-03-24 20:31:16.550655 : Step: 2400/106546, accuracy: 0.851562, cls loss: 0.484914, bbox loss: 0.101380,Landmark loss :0.056630,L2 loss: 0.023901, Total Loss: 0.587820 ,lr:0.001000 
2019-03-24 20:32:29.374453 : Step: 2500/106546, accuracy: 0.835938, cls loss: 0.542797, bbox loss: 0.101476,Landmark loss :0.056886,L2 loss: 0.023919, Total Loss: 0.645897 ,lr:0.001000 
2019-03-24 20:33:45.090837 : Step: 2600/106546, accuracy: 0.851562, cls loss: 0.514087, bbox loss: 0.114792,Landmark loss :0.060377,L2 loss: 0.023933, Total Loss: 0.625605 ,lr:0.001000 
2019-03-24 20:34:57.664053 : Step: 2700/106546, accuracy: 0.871094, cls loss: 0.480917, bbox loss: 0.102041,Landmark loss :0.045291,L2 loss: 0.023953, Total Loss: 0.578537 ,lr:0.001000 
2019-03-24 20:36:10.313484 : Step: 2800/106546, accuracy: 0.894531, cls loss: 0.463727, bbox loss: 0.098768,Landmark loss :0.049063,L2 loss: 0.023974, Total Loss: 0.561617 ,lr:0.001000 
2019-03-24 20:37:22.762310 : Step: 2900/106546, accuracy: 0.867188, cls loss: 0.472488, bbox loss: 0.113699,Landmark loss :0.063351,L2 loss: 0.023999, Total Loss: 0.585012 ,lr:0.001000 
2019-03-24 20:38:35.472280 : Step: 3000/106546, accuracy: 0.855469, cls loss: 0.479680, bbox loss: 0.085738,Landmark loss :0.055217,L2 loss: 0.024026, Total Loss: 0.574183 ,lr:0.001000 
